"STATEFIP","YEAR","POPULATION","SPHSERVICE","CMPSERVICE","OPISERVICE","RTCSERVICE","IJSSERVICE","Missing","Trauma/Stress-related Disorder","Anxiety Disorder","ADHD","Conduct Disorder","Delirium/Dementia","Bipolar Disorder","Depressive Disorder","Oppositional Defiant Disorder","Pervasive Developmental Disorders","Personality Disorders","Schizophrenia or other Psychotic Disorders","Alcohol/Substance Use Disorders","Other Disorder/Condition","CODE"
"New York",2016,56968,9447,50977,0,0,18206,1131,6945,4536,2074,384,117,6327,9681,352,48,4724,19372,181,1096,36
"North Carolina",2016,138079,2499,122795,13394,4767,7,47257,10791,8662,2601,1294,207,16653,32075,2495,4,995,11250,0,3795,37
"North Dakota",2016,14842,639,14842,2916,129,268,4988,868,1189,640,123,39,1241,2821,91,198,114,1447,21,1062,38
"Ohio",2016,430145,5664,428711,10,4933,9,18027,69878,40529,42247,14223,546,52505,98206,12397,5402,1685,29290,26529,18681,39
"Oklahoma",2016,92310,1361,90699,2710,528,720,9411,11446,8082,3506,1114,33,12296,29046,1470,241,108,9486,0,6071,40
"Oregon",2016,126319,2641,125560,4278,2158,13,299,42457,18366,8900,694,382,9926,25472,1777,1652,3143,11282,25,1944,41
"Pennsylvania",2016,543618,2263,536819,44119,6612,26,83114,58157,37800,60275,11755,3197,76667,124146,12211,26247,1037,37883,0,11129,42
"Rhode Island",2016,31643,199,31518,0,0,0,7977,2868,2035,1418,407,35,3196,8418,171,171,270,3752,0,925,44
"South Carolina",2016,85254,1758,84442,0,14,194,5341,8336,5335,10242,2100,209,10534,20026,2411,540,767,14781,1633,2999,45
"South Dakota",2016,16055,1420,14845,0,0,0,888,3815,1216,1251,238,132,1572,3467,287,168,8,1465,34,1514,46
"Tennessee",2016,118609,7644,117230,2160,220,6,42541,7776,7624,5198,843,136,13829,25411,1140,424,372,7622,0,5693,47
"Texas",2016,368722,14352,366530,12773,223,9,113010,8606,4280,25801,2305,277,67200,84550,3105,1075,364,49231,0,8918,48
"Utah",2016,53708,592,53224,1900,664,2573,5994,6426,7404,1952,454,316,3619,11840,696,764,900,4542,4285,4516,49
"Vermont",2016,31244,0,31211,0,80,1,11126,6270,2331,1554,200,66,1048,3302,211,552,349,1583,1030,1622,50
"Virginia",2016,117415,6260,115674,0,0,5,6178,11792,12900,11354,2339,857,13066,23416,2729,0,3726,16606,0,12452,51
"Washington",2016,92176,2833,82506,14403,188,19,4893,14895,10250,2691,1130,237,10321,25681,844,147,636,16206,1214,3031,53
"Wisconsin",2016,77345,4991,75629,2338,1944,6,7935,8149,7505,2717,280,320,9419,14116,440,414,2022,10049,628,13351,55
"Wyoming",2016,17921,284,17572,0,0,571,683,3527,2277,992,412,51,1909,5123,466,187,255,963,0,1076,56
"Puerto Rico",2016,17567,1783,14469,1447,70,0,17428,5,3,57,11,0,3,14,4,9,0,7,8,18,72
"Other Jurisdiction",2016,376,37,355,0,0,0,118,10,12,14,3,0,18,21,1,5,0,99,47,28,99
"Alabama",2017,103959,857,103492,1801,67,0,5644,7552,5780,13059,1419,397,12089,27545,1877,852,440,17537,6,9762,1
